# Evidence Log: Track all research findings with citations
#
# Column Definitions:
# - timestamp: When evidence was collected (ISO format: YYYY-MM-DDTHH:MM:SS)
# - source_type: journal | conference | book | web | preprint
# - citation: Full citation (BibTeX, APA, or Simple format)
# - key_finding: Main takeaway from this source (1-2 sentences)
# - confidence: high | medium | low (based on source quality and clarity)
# - notes: Additional context, caveats, or methodological notes
#
# Validation: Citations must be non-empty, source_type must be valid
# Format: BibTeX (@article{...}) or APA (Author (Year). Title.) recommended
timestamp,source_type,citation,key_finding,confidence,notes
2026-06-12T16:30:00,web,"AAIF (2026). AGENTS.md. https://agents.md","agents.md is prose-only Markdown: no schema, no official linter, no conformance suite, no version number. Only normative content: filename, root placement, nearest-file-wins for nested files.",high,"RQ-01; sources agentsmd-site, agentsmd-repo"
2026-06-12T16:30:00,web,"Linux Foundation (2025). Formation of the Agentic AI Foundation.","agents.md governed by AAIF (Linux Foundation) since Dec 2025; created by OpenAI Aug 2025; 30+ adopting tools, ~60k repos claimed.",high,"RQ-01; adoption figure is OpenAI-reported, not independently verified; source lf-aaif"
2026-06-12T16:30:00,web,"OpenAI (2026). Custom instructions with AGENTS.md - Codex.","Concatenation order, 32 KiB cap, override files etc. are per-vendor (Codex) behavior, not part of the standard.",high,"RQ-01; source codex-agentsmd"
2026-06-12T16:30:00,web,"OpenClaw (2026). Agent workspace + System prompt + Default AGENTS.md docs.","OpenClaw AGENTS.md is a runtime workspace policy file: injected first into every session system prompt, 20KB/file 60KB total truncation, default template ships SOP-grade safety rules; sub-agents receive only AGENTS.md+TOOLS.md.",high,"RQ-01/RQ-04; sources oc-workspace, oc-sysprompt, oc-agents-default"
2026-06-12T16:30:00,web,"agents.md vs OpenClaw docs comparison (synthesis).","Cross-vendor AGENTS.md and OpenClaw AGENTS.md share only a filename; they diverge on discovery, trigger, precedence, consumer, and testable surface. Verdict: two adapters.",high,"RQ-01 DECISION; synthesis of agentsmd-site, codex-agentsmd, oc-workspace, oc-sysprompt"
2026-06-12T16:35:00,web,"Agent Skills (2026). Specification. agentskills.io","Skills spec is now an open standard at agentskills.io (Apache-2.0/CC-BY-4.0); anthropics/skills spec file is a redirect pointer. Normative: name 1-64 chars [a-z0-9-] matching dir name; description 1-1024 chars; optional license/compatibility/metadata/allowed-tools (experimental); 3-level progressive disclosure.",high,"RQ-02; sources as-spec, anth-skills, as-repo"
2026-06-12T16:35:00,web,"Agent Skills (2026). agentskills/agentskills repo.","The skills spec is UNVERSIONED: no releases, no changelog. skills-ref reference validator is the de-facto schema (no JSON Schema published).",medium,"RQ-02 RISK; pin a commit SHA; unversioned inferred from absence; sources as-repo, as-skills-ref"
2026-06-12T16:35:00,web,"Agent Skills (2026). Client Showcase; OpenAI Codex skills docs.","~42 products adopted Agent Skills incl. OpenAI Codex, Gemini CLI, Cursor, GitHub Copilot, JetBrains, AWS Kiro.",high,"RQ-02; sources as-clients, openai-codex-skills"
2026-06-12T16:35:00,web,"Agent Skills (2026). Optimizing skill descriptions.","Official trigger-testing methodology exists: 8-10 should-trigger + 8-10 near-miss should-not-trigger queries, N=3 runs, trigger-rate >=0.5 threshold, 60/40 train/val split, <=5 iterations. Guidance-level, not a conformance standard.",high,"RQ-02; muster can cite this as upstream methodology; source as-opt-desc"
2026-06-12T16:35:00,web,"OpenAI (2026-01-22). Testing Agent Skills Systematically with Evals.","OpenAI ships an equivalent Codex skills eval method: explicit-invocation, implicit-invocation, negative-control tests over JSONL traces.",high,"RQ-02; source openai-eval-skills"
2026-06-12T16:35:00,conference,"Huang et al. (2024). MetaTool (ICLR 2024); BFCL irrelevance detection.","Academic analogs of trigger testing exist: tool-use-or-not decisions with similar-choice confusion sets (MetaTool) and must-not-call abstention metrics (BFCL).",high,"RQ-02; sources metatool, bfcl"
2026-06-12T16:35:00,web,"Yeh (2026). agent-skill-linter; skills-ref.","Static skill linters exist (skills-ref validate, agent-skill-linter ~20 rules) but no tool unifies static spec conformance + behavioral trigger conformance into one suite. Gap confirmed.",medium,"RQ-02 GAP; sources as-skills-ref, skill-linter"
2026-06-12T16:40:00,web,"rokoss21 (2026). soul.md RFC-1 repo + CHANGELOG + GitHub API metadata.","RFC-1 frozen at 1.0.0-rc1 (2026-02-11); repo dormant since creation day (all 3 commits same day, 0 issues); promised 1.0.0 deliverables (ref impl, CTS-1 fixtures) never shipped.",high,"RQ-03 RISK for v1 positioning; sources rfc1-repo, rfc1-changelog, rfc1-api"
