# Source Register: Master list of all research sources
#
# Column Definitions:
# - source_id: Unique identifier (lowercase, no spaces, e.g., "smith2024")
# - citation: Full citation (BibTeX or APA format)
# - url: Direct link to source (DOI, arXiv, or web URL)
# - accessed_date: Date source was accessed (YYYY-MM-DD)
# - relevance: high | medium | low (to primary research question)
# - status: reviewed | pending | archived
#
# Usage: Add sources when discovered, update status as research progresses
# Validation: source_id must be unique
source_id,citation,url,accessed_date,relevance,status
agentsmd-site,"OpenAI et al. / AAIF (2025-2026). AGENTS.md.",https://agents.md,2026-06-12,high,reviewed
agentsmd-repo,"agentsmd (2025-2026). agents.md repository.",https://github.com/agentsmd/agents.md,2026-06-12,high,reviewed
lf-aaif,"Linux Foundation (2025). Formation of the Agentic AI Foundation.",https://www.linuxfoundation.org/press/linux-foundation-announces-the-formation-of-the-agentic-ai-foundation,2026-06-12,high,reviewed
codex-agentsmd,"OpenAI (2026). Custom instructions with AGENTS.md - Codex.",https://developers.openai.com/codex/guides/agents-md,2026-06-12,high,reviewed
agents-lint,"giacomo (2026). agents-lint.",https://github.com/giacomo/agents-lint,2026-06-12,medium,reviewed
agentlinter,"AgentLinter (2026). Linter for CLAUDE.md & AI Agents.",https://agentlinter.com/,2026-06-12,high,reviewed
morphllm-agentsmd-v11,"Morph (2026). AGENTS.md Spec guide (v1.1 frontmatter proposal claim).",https://www.morphllm.com/agents-md-guide,2026-06-12,low,pending
as-spec,"Agent Skills (2026). Specification.",https://agentskills.io/specification,2026-06-12,high,reviewed
anth-skills,"Anthropic (2025-2026). anthropics/skills repository incl. skill-creator.",https://github.com/anthropics/skills,2026-06-12,high,reviewed
as-repo,"Agent Skills (2026). agentskills/agentskills repository.",https://github.com/agentskills/agentskills,2026-06-12,high,reviewed
as-skills-ref,"Agent Skills (2026). skills-ref reference validator library.",https://github.com/agentskills/agentskills/tree/main/skills-ref,2026-06-12,high,reviewed
as-clients,"Agent Skills (2026). Client Showcase.",https://agentskills.io/clients,2026-06-12,medium,reviewed
openai-codex-skills,"OpenAI (2026). Agent Skills - Codex.",https://developers.openai.com/codex/skills,2026-06-12,medium,reviewed
as-opt-desc,"Agent Skills (2026). Optimizing skill descriptions (trigger-testing methodology).",https://agentskills.io/skill-creation/optimizing-descriptions,2026-06-12,high,reviewed
openai-eval-skills,"OpenAI (2026-01-22). Testing Agent Skills Systematically with Evals.",https://developers.openai.com/blog/eval-skills,2026-06-12,high,reviewed
metatool,"Huang et al. (2024). MetaTool Benchmark (ICLR 2024).",https://arxiv.org/abs/2310.03128,2026-06-12,medium,reviewed
bfcl,"Berkeley (2024-2026). Berkeley Function-Calling Leaderboard (irrelevance detection).",https://www.emergentmind.com/topics/berkeley-function-calling-benchmark-bfcl,2026-06-12,medium,reviewed
skill-linter,"Yeh, W. (2026). agent-skill-linter.",https://github.com/William-Yeh/agent-skill-linter,2026-06-12,medium,reviewed
arxiv-skills-analysis,"arXiv (2026). Agent Skills: A Data-Driven Analysis of Claude Skills.",https://arxiv.org/pdf/2602.08004,2026-06-12,low,pending
rfc1-repo,"rokoss21 (2026). soul.md RFC-1 repository (README + spec).",https://github.com/rokoss21/soul.md,2026-06-12,high,reviewed
rfc1-changelog,"rokoss21 (2026). soul.md RFC-1 CHANGELOG.md.",https://raw.githubusercontent.com/rokoss21/soul.md/main/CHANGELOG.md,2026-06-12,high,reviewed
rfc1-api,"GitHub API (2026). rokoss21/soul.md repo + commit metadata.",https://api.github.com/repos/rokoss21/soul.md,2026-06-12,high,reviewed
soulspec-v05,"ClawSouls (2026). SoulSpec v0.5 specification.",https://github.com/clawsouls/soulspec/blob/main/soul-spec-v0.5.md,2026-06-12,high,reviewed
soulspec-v03,"ClawSouls (2026). SoulSpec v0.3 file descriptions.",https://raw.githubusercontent.com/clawsouls/soulspec/main/soul-spec-v0.3.md,2026-06-12,medium,reviewed
soulspec-api,"GitHub API (2026). clawsouls/soulspec contents + org repos.",https://api.github.com/repos/clawsouls/soulspec,2026-06-12,high,reviewed
soulspec-org,"ClawSouls (2026). soulspec.org landing page.",https://soulspec.org/,2026-06-12,medium,reviewed
muster-core,"muster v1 (2026). SpecAdapter contract and rfc1 adapter (local code).",file:///home/jeroennouws/dev/garrison-hq/muster/src/core/adapter.ts,2026-06-12,high,reviewed
oc-workspace,"OpenClaw (2026). Agent workspace (concepts).",https://docs.openclaw.ai/concepts/agent-workspace,2026-06-12,high,reviewed
oc-workspace-repo,"OpenClaw (2026). docs/concepts/agent-workspace.md (repo mirror; SHA-pinnable).",https://github.com/openclaw/openclaw/blob/main/docs/concepts/agent-workspace.md,2026-06-12,high,reviewed
oc-sysprompt,"OpenClaw (2026). System prompt (concepts).",https://docs.openclaw.ai/concepts/system-prompt,2026-06-12,high,reviewed
oc-agents-default,"OpenClaw (2026). Default AGENTS.md reference template.",https://docs.openclaw.ai/reference/AGENTS.default,2026-06-12,high,reviewed
oc-source-order,"OpenClaw (2026). src/agents/system-prompt.ts CONTEXT_FILE_ORDER (fetched 2026-06-12).",https://github.com/openclaw/openclaw/blob/main/src/agents/system-prompt.ts,2026-06-12,high,reviewed
oc-issue-order,"OpenClaw (2026). Issue #65438: configurable bootstrap injection order.",https://github.com/openclaw/openclaw/issues/65438,2026-06-12,medium,reviewed
oc-memory,"OpenClaw (2026). Memory (concepts).",https://docs.openclaw.ai/concepts/memory,2026-06-12,medium,reviewed
oc-heartbeat,"OpenClaw (2026). Heartbeat (gateway).",https://docs.openclaw.ai/gateway/heartbeat,2026-06-12,high,reviewed
oc-heartbeat-tpl,"OpenClaw (2026). HEARTBEAT.md template reference.",https://docs.openclaw.ai/reference/templates/HEARTBEAT,2026-06-12,medium,reviewed
oc-wikipedia,"Wikipedia (2026). OpenClaw (rename history).",https://en.wikipedia.org/wiki/OpenClaw,2026-06-12,low,reviewed
a2a-spec,"A2A Project / Linux Foundation (2026). A2A Protocol Specification v1.0.",https://a2a-protocol.org/latest/specification/,2026-06-12,high,reviewed
a2a-releases,"A2A Project (2026). a2aproject/A2A releases + published a2a.json.",https://github.com/a2aproject/A2A/releases,2026-06-12,high,reviewed
a2a-tck,"A2A Project (2026). a2a-tck official Technology Compatibility Kit.",https://github.com/a2aproject/a2a-tck,2026-06-12,high,reviewed
a2a-inspector,"A2A Project (2026). a2a-inspector.",https://github.com/a2aproject/a2a-inspector,2026-06-12,medium,reviewed
